,Particulars,search_name,Address
359,De Grains and Herbes,De Grains and Herbes,"Shop No: G45,Phase 2,, Ground Floor,Spencer Plaza,, Chennai-600002., Mob:9884155505."
360,De Halloween Club,De Halloween Club,"72 Nallathambi Road,, Anna Nagar,, Pammal,, Chennai - 600075."
361,De Indian Kitchen,De Indian Kitchen,"31 A Seethapathy Nagar, 100ft Tharamani Link Road,, Chennai 600042, Ph; 89252 80418"
362,DEJA BREW,DEJA BREW,"No G4 (1069), 19th Street G Block Anna, Nagar West, Anna Nagar West, Chennai-600040, MOB-9176615050"
363,Deja Brew Cafe,Deja Brew Cafe,"38, Sterling Road, Nungambakkam,, Chennai, Tamil Nadu, 600034, Ph:6383624640"
364,Deli Pizzeria,Deli Pizzeria,"Himalaya Food Court, IIT-Madras Campus,, Chennai-600036., Mob:9962524244."
365,Deluxe Caterers Private Limited,Deluxe Caterers,"Copper Chimney, Phoenix Market City,, 2nd Floor,Chennai-600042., Mob:7008367855"
366,Deluxe Caterers Private Limited ( G ),Deluxe Caterers,"Copper Chimney Restuarant, No:74,Cathedral Road,, Gopalpuram,Chennai-600086., Mob:7008367855"
367,Deluxe Caterers Private Limited ( N ),Deluxe Caterers,"Bombay Brasserie, No:03,College Lane,, Nungambakkam,Chennai-600006., Mob:8927985987"
368,Dench Confectioneries,Dench nfectioneries,"Chennai, Mob-9176747959 , 8056087544"
369,Desert Saffari,Desert Saffari,"No 107, Eldams Road, Teynampet, Chennai-600 018, Ph 9884913138, 044 33824444"
370,D.G Foods,D.G Foods,"No.2.Fourth Street,, Sivssakthi Nagar,, Annanur ,, Chennai 600 109., Cell : 8428257687"
371,Dhanalakshmi Foods,Dhanalakshmi Foods,"15,, 4TH CROSS STREET MANGALA NAGAR,, PORUR, CHENNAI-600116, Mob-79049 32507"
372,Dhanalaxmi Cultural Association,Dhanalaxmi Cultural Association,"Le Barrel Bar,, No:195,Venkatachalam Road,, Mylapore,Chennai-600004., Mob: 8754511237"
373,Dhanasekaran Mathivanan,Dhanasekaran Mathivanan,"No:6&7,Ramagiri Nagar Extension,, Velachery Taramani Link Road,, Velachery,Chennai-600042., Mob:9943794841"
374,Dhanvin Distributers,Dhanvin Distributers,"8/1, Sundaram Nagar, 2nd Street, Kolathur,, Chennai, Tamil Nadu, 600099, Pn: 8695166266"
375,Dhanyaa Caterers,Dhanyaa Caterers,"Dr MGR Medical University Campus,, No:69,Anna Salai,Guindy,, Chennai-600032., Mob: 9940512147"
376,DHANYA ENTERPRISES,DHANYA,"OLD NO.42 NEW NO.80, ISMAIL GROUND,, Lloyds road, Triplicane, Chennai, Chennai,, Tamil Nadu, 600005, PH : 8668166418"
377,Dheeyas Hotel Pvt Ltd,Dheeyas Hotel,"No.102/124, Redhills Road, Vijayalakshmipuram, Ambattur, Chennai - 600 053, Tel : 044 6050 0222"
378,Dhiya Agency,Dhiya,"No.23 Krishna Nagar main road,, Mangalalakshmi nagar, Mugalivakkam, Chennai 125, Ph - 9710777500"
379,Diana International,Diana,"Old No 128, New No 100,, Coral Merchant St,, Mannady,, Chennai 600 001., Mob: 93804 72802/ 98405 79299"
380,Diff 42 Resto Lonuge,Diff 42 Resto Lonuge,"( Cafe 97), No. 7 , Opposite to Vijayanagar Bus Terminus, Taramani Road, Velacherry, Chennai  - 600 042, Tel No: 044 43216667, Mob No: 9842319191"
381,Dije Foods,Dije Foods,"Flat  No. 5112, Plot No.1, Ds Royal Castle, Ottavadai Street,, Mugalivakkam Main Road,, Madhanandhapuram, Chennai Tamil Nadu - 600116, 83300 37449"
382,Dijen Foods Private Limited,Dijen Foods,"New No:97,Old No:45,, 2nd Floor,Nungambakkam High Road,, Chennai-600034., Mob:7358262141"
383,Dimsum,Dimsum,"No 31/2, 1st Floor, Tansi Nagar 1st Street, Taramani Link Road, Velacherry, Chennai-600 042, Ph.9043383422"
384,Dine Fine Gourmet,Dine Fine Gourmet,"No 73, First Floor, Room. No.1, Palkalai Nagar, Palavakkam, Chennai - 600 041"
385,Dine Kart Private Limited,Dine Kart,"No 10 1St Street, VOC Colony Amnjikarai, Chennai 600 029., (Land Mark Next Nuts and Spices, Warehouse), Mob 89391 88999"
386,Dinesh Radha,Dinesh Radha,"No.28, Ennore Express Road,Kaladipet,, Thiruvottiyur,Chennai-600019, Mob-"
387,Dinetech Foods Private Limited,Dinetech Foods,"Plot No. 57-58, Raja Gardens,, Vanagaram Main Road,, Vanagaram, Chennai - 600116, Ph: 9940617739 - Balaji"
388,Dionysus Restaurants Private Limited,Dionysus Restaurants,"Jaganathan Road, Opposite Vijay Tv Office, Tirumurthy Nagar, Nungambakkam, Chennai 600 034, Mob-86101 78226, A/C No. 9962560647"
389,Disha,Disha,"No:901,A Block,Vimlachal Apartment,1088,, Poonamallee High Road,, Chennai-600084., MOB: 9500199633."
390,Dityas Services,Dityas,"S2, Kalyani Towers, New 69 Old 174, Second Avenue Ashok Nagar, Chennai 600083, 80982 22599"
391,Diva Enterprises (Old),Diva,"No; 3c Soundrapandian St, Kannambal Nagar, Extension Chrompet ., Chennai 600044, Ph No; 99623 76625"
392,Divine Dine,Divine Dine,"Ground Floor, M/34/2,, 17th Cross Street,, Aavin Milk Booth, Besant Nagar,, Chennai, Tamil Nadu, 600090, Ph; 72992 84214, 76958 02025"
393,Divine Foods,Divine Foods,"NO:46,NGO Colony,Mohanpuri Secound Street,, Adambakkam,Chennai-600088., MOB: 9445757333,8939490538."
394,DIVINE N TASTYY,DIVINE N TASTYY,"Ground Floor, Mezzanine Floor,, No. 126, Cathedral Road,, Gopalapuram,, Chennai-600086, Mob:9171393638., Name: Selvam"
395,Dj Leisure Ventures Stay Llp,Dj Leisure Ventures Stay,"Gr Mezzanini Floor, 124/1 and 2,, Jawaharlal Nehru Road,, J3 Guindy Police Station, Ekkattuthangal,, Chennai:600032, MOB:9841144802"
396,DJ Stores,DJ Stores,"142,Gangai Amman Koil Street,, Golden George Nagar,Mogappair,, Chennai-37, Ph:9345212271"
397,D K A STORES,D K A STORES,"( MARIS HOTEL ), No:11,Cathedral Road, Gopalapuram, Chennai 600 086, Mob 9962184201,9382208708, Mr.Maachan"
398,D.K. Brothers Medicals,D.K. Brothers Medicals,"No.24/48, Station Road,, Villivakkam,, Chennai-600049, Mob:7845664319"
399,D.K.Snacks,D.K.Snacks,"No:432,TH Road,, Old Washermenpet,Chennai-600021., Mob:7200299994."
400,DLF Foods,DLF Foods,"No:23,South Sivan Kovil Street,, Vadapalani,Chennai-600026., Mob:8056175733."
401,DL TRADERS,DL TRADERS,"BLOCKNO6, 5,, MARUTHIRUVAR STREET,, RAILNAGAR,, MARAIMALAINAGAR,, Chennai - 603209, Mobile:9363511700"
402,Dollarbird Hospitality,Dollarbird Hospitality,"Old No 8, New No 20,, Rutland Gate 4th St.,, Ruthland Gate,, Nungambakkam,, Chennai 600 006., Mob: 95004 07595"
403,Dona Cakes World,Dona Cakes World,"No:86,SIDCO Industrial Estate,, Ekkattuthangal,Guindy,, Chennai-600032., Mob:9940589480."
404,Doner Bistro,Doner Bistro,"Express Food Street, 137, Rajiv Gandhi Salai,, Semmancheri,, Chennai, Tamil Nadu 600119"
405,Doner Kebab Bistro,Doner Kebab Bistro,"No.31 , Anderson Road,, Nungambakkam,, Chennai - 600 034, Tel-044 4501 8008, Mob No. 8122379924"
406,Donut House,Donut House,"(Balakrishna Ravishankar), Theios Project Management Consultants, OMR Road, Perungudi, Chennai  600 096, Tel No: 044 24545838, Jayakumar No: 9884635432"
407,Dosa V2,Dosa V2,"No.4/22, Nethaji Colony 2nd cross street, Mohanpuri, Velachery, Chennai 42, Mob: 8939489811, 9941844828, Ph:044 - 22532022"
408,Dou & 1,Dou & 1,"27, Kaveri Street,, Kalahshetra Street, Besant Nagar Chennai - 600090, Ph: 98400 33060"
409,Dou & I,Dou & I,"No:16th, TNHB Complex,, 4th Main Road, Elliot's Beach,, Besant Nagar, Chennai-600090., Mob:9840033060"
410,Down Sterling Club,Down Sterling Club,"No:17/A,Sterling Avenue,, Nungambakkam,, Chennai-600034., Mob:9383893838."
411,Dr. Bafna,Dr. Bafna,"Flat No 8051, 8th Block 5th Floor, Tvh Lumbini Square, 127A Brick Kiln Road, Purasawakkam, Chennai  600 007, Mob No. 9884201234"
412,DREAMSPICE FOODS PRIVATE LIMITED,DREAMSPICE FOODS,"67/13, Peeliamman Koil Street Kottur,, Chennai, Tamil Nadu, 600085., Mob:9710009077"
413,Drip Dessert Lab,Drip Dessert Lab,"Ground  Floor , 3/2 ( 6/2 Plot No. 712), Drip Dessert Lap, 6th Street Opposite Sundays, Anna Nagar East, Chennai -600102, ph: 91762 98689"
414,"DR,M.G.R. Educational& Research Institute Trust","DR,M.G.R. Educational& Research Institute Trust","Adayalampattu, Adayampattu West, Chennai Tiruvallur, Tamil Nadu, 600095, Ph:9884477656"
415,Dr Nandakumar,Dr Nandakumar,"Sarojini Bagh, No:14,3rd Cross Street,Seetha Nagar,, Ningambakkam,Chennai-600034., Contact : Mr.Krishnachandar, Mob : 9884036432."
416,Druta Vrddhi Hotels Private Limited,Druta Vrddhi Hotels,"E-147 A, No 5,2nd Avenue,Besant Nagar,, Adyar,Chennai."
417,DS3 Food & Beverages,DS3 Food & Beverages,"4th Avenue, Ashok Nagar,, Chennai-600033."
418,Dudu Grill and Bar,Dudu Grill and Bar,"No:3/416,ECR Road,, Uthandi,Chennai-600119., Mob:9176775222."
419,Duet India Hotels ( Chennai OMR ) Pvt Ltd,Duet Hotels,"Survey No 169 Plot No 1B & 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur, Chennai 600119, Mob 72992 29900, Mr. Sarathy Christo, M +91 7824017727  T 044.49256699"
420,Duet India Hotels Pvt Ltd,Duet Hotels,"Plot No.P3,Near Sezgate, Mahindra World City, Chengalpet,, Chennai-603 002"
421,Dwaraka Palace,Dwaraka Palace,"No:63,1st Seaward Road,, Valmiki Nagar,, Thiruvanmiyur,Chennai-600041., Mob:9384020526"
422,Dynasty Steven Francis&Co,Dynasty Steven Francis&,"Nungambakkam, Chennai 600 034, Mob 73584 26525, Tel No: 04428254316"
423,Earth To Table,Earth To Table,"T46 A,Annai Velankanni,, 7th Avenue Besant Nagar,, Chennai-600090"
424,East Coast,East ast,"( Madras Square), (UNIT OF BAKER BLISS), Chennai 600 115, Neelankarai, Chennai 600 115, Tel 044 24491420, Ph7299440000"
425,Eastern Trading Company Private Limited,Eastern mpany,"Eskay Bulding 1st Floor, No 74 Greams Road, Thousand Lights, Chennai 600 006, Opp BSNL, 9941788093"
426,East West Foods Pvt Ltd,East West Foods,"No E 37 2nd Avenue, Besant Nagar, Chennai 600 090, Mob 98840 34060 , 9884981478"
427,EAST WEST RESORRTS,EAST WEST RESORRTS,"145, Chennai Banglore Highway, Opp Nokia Factory, Sriperumbudur,, Kanchipuram  Dist., Tamilnadu - 602105, MOB: 90801 15252"
428,Eat,Eat,"GPS Food Zone,, 14th St, Mehta Nagar,, kundrathur,, Chennai - 600069, Contact number : 9941285942"
429,Eating Crew,Eating Crew,"YASS Tower No 283 Old no 123, TTK Road, Chennai"
430,Eat Out,Eat Out,"No,18.Thirumalai Nagar  Annexe, Ist Main Road, Perungudi, Chennai - 600 096."
431,EAT REPEAT,EAT REPEAT,"D3, Mayura Apartment,, Aziz Nagar, First Street,, Kodambakkam,, Chennai 600 024., Mob: 99529 60618"
432,Eat Street,Eat Street,"No:131/48,Velachery Main Road,, Little Mount,Saidapet,, Chennai-600015., Mob:9600490540."
433,E & B ENTERPRISES,E & B,"No 27/17, Sunmax Square, Velachery Main Road, Velachery, Chennai 600 042, Mob:99520 31333, 74489 88999"
434,ECLECTIC,ECLECTIC,"17/5 Kothari Road, 1st Cross Street, Numgambakkam, Chennai 600 034., Mob 89395 55550, ( Deliver At KNK Road)"
435,ECO - WRAP SOLUTIONS & SERVICES,ECO - WRAP &,"Ground Floor, 10, Aditya Flats, 8th Street,, Sri devi Nagar, Alapakkam, Chennai-600116, Mob-8144045353"
436,Eden Restaurant,Eden Restaurant,"Harrisons Hotel, 314- Valluvar Kottam High Road, Nungambakkam, Chennai - 600 034, 9884034060"
437,Edible Incorporate,Edible orporate,"No 29 Duraiswamy Nagar, East Tambaram   Chennai- - 600 059"
438,Eesentia Premier Hotel Chennai,Eesentia Premier Hotel Chennai,"( A Unit of Averina Hospitality Ltd ), No:71/2,Okkiam,Thoraipakkam,, Rajiv Gandhi Salai,OMR,, Chennai-600097., Mob: 9025222957."
439,Eeshu Delicacies Private Limited,Eeshu Delicacies,"No.12 Poonthamallee Road,, Ekkatuthangal Chennai- 600032, Mob-63809 68985"
440,EFF Agro Pvt Ltd,EFF Agro,"No 1, 4th Avenue, Harrington Road, Chennai, Mob 75502 80677"
441,EIH Associated Hotels Limited,EIH Associated Hotels,"(Trident Chennai), 1/24, G.S.T. Road, Pazavanthangal,, Chennai - 600 027, Mob .9941154844, 044 22428253, 22428260"
442,EIN ENTERPRISES,EIN,"00, V.G.P.HOUSING PVT LTD, (M/S V.G.P.UNIVERSAL KINGDOM),, EAST COAST ROAD, INJAMBAKKAM,, Chennai - 600020, mob no : 9361808962"
443,ELAHI SUPER MARKET,ELAHI SUPER MARKET,"NO 3/24, Trunk Road,, Porur, Chennai - 600116., Mob: 9952969808."
444,ELAHI SUPER MARKET ( M ),ELAHI SUPER MARKET,"No:360/1,Church Road,, Golden George Nagar,, Mogappair East,, Chennai-600037., Mob:8248632631"
445,Elalimentos,Elalimentos,"31,Thiruvalluvar Salai, Balaji Nagar Nerkundram,, Chennai-600107, Ph:9841149419"
446,Elementz,Elementz,"No,16,Wallce Garden  Ist St,, Nungambakkam,, Chennai - 600 034., Phone : 044- 42032323"
447,Elevate Restaurants,Elevate Restaurants,"(Infinity Esthell Restaurants LLP), No.1 Royal Enclave Besant Avenue Road, Adyar Chennai 600 020, Mob No +91-7338801767"
448,Elim Enterprises,Elim,"Shop 5 Plot 17, Rosily Nagar, Chitalapakkam, Chennai 600 064, Ph 9790978883"
449,Elite Avenue,Elite Avenue,"64/157, Sectirate Colony 2nd Street,, Kilpauk, Chennai- 600010, Mob:9843555055"
450,Elite Foods,Elite Foods,"No:291/2,CTH Road,, Avadi,Chennai-600054., Mob:7845379170."
451,Elite Super Mart,Elite Super Mart,"NO.239A,ASTALAKSHIMI NAGAR,, 3RD MAIN ROAD, ALAPAKKAM,, Chennai-600116, PH.NO .: 9715002266"
452,Eljay Enterprises LLP,Eljay,"( Patissez ), 4th Floor 4C, AL-Kasha Centre, OMR Thoraipakkam, Chennai 600 097., Mob 9841123109 Amrish, Pheonix Market City Chennai (2nd Floor)"
453,Ella Foods Private Limited Sales,Ella Foods Sales,"ground floor, 7c, new no.105,, Central Warehousing Corporation Warehouse, Arcot Road, Virugambakkam,, Chennai-600092, Mob-84832 37004"
454,Ella Fresh Private Limited,Ella Fresh,"No 573, Sivaprakasam Nagar, Chennai-600066, Mob:8483237004"
455,Emelem  Gourmet Llp,Emelem Gourmet,"No:1/1, Mahalingapuram Main Road,, Mahalingapuram , Chennai, Tamilnadu- 600034, Mob:98845 26369"
456,Emerald Haven Aviation Service Ltd,Emerald Haven Aviation Ltd,"GITEX III Floor ,, 3, Khader Nawaz Khan Road ,, Chennaim 600 006, Tel No: 28331117 / 8 /9, Ph 9566046209"
457,Eminent Foods,Eminent Foods,"No:1/10,Ramapuram Main Road,, Meenakshi Nagar,Nesapakkam,, Chennai-600078., Mob:9677177180."
458,Empee Hotels Limited,Empee Hotels,"(C O Hilton Chennai), 124 1 J N Salai, Ekkaduthangal, Chennai 600 032"
459,Empire Agencies,Empire,"No. 11, Audiappa Naicken Street,, Chennai - 600 001, Mobile No: 9444064009, Tel No: 044 25396464 , 25364005, 9444064009, EMPIREAGENCIES@YAHOO.COM"
460,E M Recreation Club,E M Recreation Club,"Sf:2/301,Door No:175,, East Coast Road,Akkarai Junction,, Shollinganallur,Chennai-600119., Mob:9444714319."
461,Enablers Property Services Pvt Ltd,Enablers Property,"1/33, 3rd Street,, Thiruvallur Nagar,, Alandur, Chennai 600016., Mob: 80562 41441, ( Delivery At RMZ One Paramount,, Campus 10, No 110, Mount, Poonamalle Road, Chennai 600116.)"
462,ENBEE FOODS,ENBEE FOODS,"Ground Floor, 73/1,, Sterling Road,, Nungambakkam,, Chennai - 600 034, Mob: 96773 16141"
463,Endemol India Private Limited,Endemol,"S.F.No.167/3,167/4,, Bangalore Chennai National Highway, Kancheepuram, Chembarambakkam, Chennai - 602103"
464,Epicurean Eateries Private Limited,Epicurean Eateries,"No:15/4,1st Floor,4th Main Road,, Besant Nagar,Chennai-600090."
465,Erevu Ventures Private Limited,Erevu Ventures,"Plot No:7/8,Selva Vinayagar Nagar,, Near Athikvakkam,Grand Lyon,, Red Hills,Chennai-600052., Mob:8431234881."
466,ERIC VENTURES,ERIC VENTURES,"Ground Floor Corner Portion,, 21, Raja Rajeswari Nagar,, Madanandapuram,, Chennai - 600 125., Mob: 9972626195"
467,Escape Cinemas Pvt Ltd,Escape Cinemas,"No. 305, Bharathi Salai, Royapettah, Chennai-600 014, Ph. 8754458400"
468,Eshwar Super Market,Eshwar Super Market,"41/3-2, Arya Gowda Road,, West Mambalam,, Chennai - 600033, Phone: 044 -2489 8089"
469,ESM Foods Private Limited,ESM Foods,"(The Good Spot), No 5/3 2nd Main Road,, Kasthuribai Nagar,Adyar,, Chennai - 20, Mob-9994224601, Tel- 044 48622727"
470,ES PLASTICS,ES PLASTICS,"NO 1/2, SUBAM NAGAR, SANGARA SALAI,, ZAMIN PALLAVARAM, Chennai.600117, MOB-99404 32045"
471,Esquire ( Sales ),Esquire,"No 12 Anna Street, Kanagam, Chennai 600 113, PH 22541156"
472,ESSVEE FOODS,ESSVEE FOODS,"No 29 Padmagiri Nagar 1st Floor, Periya Sekkadu Perumal Koil Street, Madhavaram, Chennai 600 051, Mob 99400 20011"
473,Eva Cakes,Eva Cakes,"61 A, Poonthamalle Road,, Ekkattuthangal,, Chennai-600032, Mob: 98408 88002"
474,Evans Evans Bakers and Confectioners,Evans Evans Bakers and nfectioners,"#2/111, Mount Poonamalle Road,, Kattupakkam,Chennai-600056., Contact No: 9500075884., Cake Basket ( Shop Name), 9500497253"
475,Eventide Coffee,Eventide ffee,"No:138,Eeast Coast Rood,, Injambakkam,Chennai-600119., Mob:7200880770"
476,Everest Bakery,Everest Bakery,"No.75 Thulasingam Street,, Perambur,Chennai-600011, Mob-86800 13313"
477,EVNOIA FOODSTUFF TRADING PVT.LTD,EVNOIA FOODSTUFF,"No:2 F,2nd Floor, 560-562,, Century Plaza, Anna Salai,, Teynampet,Chennai - 600 018, Mob-99418 53686"
478,Evoke Bistro Bar & Grill,Evoke Bistro Bar & Grill,"No. 5/360 2nd Floor, Rajiv Gandhi Salai , Okkiyam, Thoraipakkam, Chennai - 600 097, Mob No. 8825766059"
479,Evolve Fitness Studio,Evolve Fitness Studio,"265, 3rd Floor,, TTK Road,, Alwarpet,, Chennai - 600 091, 044 - 43129869, 9445189900, 9840028553"
480,EVP Cinemas,EVP Cinemas,"No:65,Santhosha Nagar,, Chennai-Bangalore National Highway,, Chembarambakkam,Poonamallee,, Chennai-602103."
481,Express Infrastructure Pvt Ltd,Express Infrastructure,"No 2 Club House Road Mount Road, Chennai 600 002, Ph 044 28463354"
482,F4,F4,"10/1, Dr Ambadkar Salai, 4th Avenue, Ashok NAgar, Chennai"
483,Fabeato International Private Limited,Fabeato,"1, New No 81/83 Old No 31/32,, GT House, Dr Alagappa Road,, Vishnu Tailoring, Purasawalkam,, Chennai, Tamil Nadu, 600084, MOB:9003259629"
484,"FAIRMACS SHIPSTORES PVT. LTD.,","FAIRMACS SHIPSTORES ,","No.31, MOORE STREET, Chennai, 98206 10367"
485,Fakhri Engg Corporation,Fakhri Engg rporation,"#151 Broadway ,, Shop #8,Prakasam Salai,, Chennai - 600108"
486,Fancy Recreation Club,Fancy Recreation Club,"No:140,Numgambakkam Road,, Chhotabhai Centre,, Chennai-600034., Mob:7358047981."
487,FANTASY GOURMET,FANTASY GOURMET,"( Papparoti ), 39 lg level Palladium, Phoneix mall, Velacherry, Chennai 600 042, Mob: 95000 54465, Name: Vinoth Pandiyan"
488,Farm Fresh Milk Parlour,Farm Fresh Milk Parlour,"Mugalivakkam Main Road,, Madhanandhapuram,, Chennai-125, Mob-94434 59059"
489,Farmisto Potato,Farmisto Potato,"Anna Nagar Tower Park, Chennai-600040, Mob- 70104 29684"
490,Fasta Pizza Private Limited,Fasta Pizza,"No 48,49,& 50,, Rajeshwari street, Santosh Nagar,, Palavakkam Village, Perungudi, Chennai - 600 041, Mob: 91761 45450, Name: Ajmal Hussain"
491,Fathima Sulaiman,Fathima Sulaiman,"No. 1B, Sterling Road,, 2nd Cross Street,, (Behind Sri Lankan Consulate), Nungambakkam,, Chennai 600 034., Ph 9444076718, 9840040760"
492,FB CAKE HOUSE,FB CAKE HOUSE,"455/4, Lakshmi Complex,, M.T.H Road, Near OT Bus Stand,, Krishnapuram,, Ambattur, Chennai 600053., Mob: 7550386083"
493,Feedyour Soul,Feedyour Soul,"NO:140A,Marshalls Road,, Egmore,Chennai-600008., MOB: 9677284569."
494,FFL Cuisines Private Limited,FFL Cuisines,"Ganapat Building, 1st Floor No 103, Nhngambakkam High Road, Chennai 600 034, Mob 97862 79110, Mr. Bala"
495,Fiducia Foods,Fiducia Foods,"Plot No:27,Vinoba Street,, Durga Nagar,Tambaram Sanatorium,, Chennai-600047."
496,Filter Cappi,Filter Cappi,"No: 4, Madha Nagar Main Road,, Madhanandapuram,, Chennai - 600125., Mob:9500118386"
497,FIRST COFFEE,FIRST FFEE,"Ground floor, Door No 30/2 I block,, 9th Street, 1st Main Road,, Near Ferns N petals,, Anna Nagar East,, chennai - 600102, Mob No : 7358180743"
498,FIRST STEP ENTERPRISE,FIRST STEP,"1st Floor, No 6,, Alapakkam Main Road,, Maduravoyal,, Chennai - 600 095., Mob: 8778768487"
499,Five Strars Super Departmental Stores,Five Strars Super Departmental Stores,"60, Pantheon Road,, Egmore, Chennai - 600008, Ph:  98410 71786"
500,Flavoreat Hospitality Llp,Flavoreat Hospitality,"8/11 A, WARD 7,TAMBARAM, Velachery, Main Road, Tamil Nadu Biodiversity, Conservation and Greening Project,, Medavakkam, Chennai, PH: 95440 36959"
501,Flavory Foods Nm Road,Flavory Foods Nm Road,"Ground 34/130, Cryspin,, Nelson Manickam Road, Aminjikarai, Chennai,, Tamil Nadu, 600030, 8610984788 / 9840314257"
502,Flexible Enterprises,Flexible,"180, Nankam Palayam Road, Thanthai Periyar Road,, Semmenchery Sholinganallur,, Chennai, Tamil Nadu, 600119, pH: 9003055648"
503,Flora Foods,Flora Foods,"Gound Floor,, A-15, TNSSI Layout Road,, Athipet,, Chennai - 600 058, Contact : 9176126563, Contact Person : Mr. Hari"
504,Floressa Hotels,Floressa Hotels,"5th Floor, NO 46,47 & 48,, Krishnaveniammal Nagar,, 1st main Road, kancheepuram,, Chennai, Chengalpattu,, Tamil Nadu, 600056, Ph:73580 94886, 9600655313"
505,Fluffy Frosting The Cake Shop,Fluffy Frosting The Cake Shop,"No:1,Kundrathur Main Road,, Kovur,Chennai-600128, Mob:9962202704."
506,Foodcomm Technologies Private Limited,Foodcomm Technologies,"11/16-11, D1B, BLOCK-D, Radha Nagar School Road,, Velachery,Chennai-600042., Mob:9500150893"
507,Foodexochennai Private Limited,Foodexochennai,"No 68/56 P Block, Nirupa Palace, 6th, Avenue, Anna Nagar, Chennai, Chennai,, Tamil Nadu, 600040, Ph:9962448816"
508,Foodies Hut,Foodies Hut,"Old No.53, New No.67,, Peters Road, Royapettah,, Chennai-600014, Opposite to Royapettah Post Office, Next Amma Hotel, Mob-98845 92786"
509,Foodies Kitchen LLP,Foodies Kitchen,"24 Cenotaph Road, Teynampet, Chennai 600 018, Mob 98847 27375, 9884727375"
510,Foodies Kitchen LLP (ABT),Foodies Kitchen,"(Absolute Thai), 24 Cenotaph Road, Teynampet, Chennai 600 018, Mob 98847 27375, 9884727375"
511,Foodima Ventures Private Limited,Foodima Ventures,"Seeds Lifestyle, No:9,Ground Floor,, 11th Cross Street,Indiranagar,, Chennai-600020., Mob: 9019518477."
512,Foodswing Enterprises,Foodswing,"No:1,Anna Salai,, CMDA Industrial Estate,, Maraimalai Nagar,, Chennai-6032019., Mob:9841951065"
513,Foodway,Foodway,"No.Sh 206,31/3B,, Poonamallee Main Road,, Chennai-600056, Mob:9787145799"
514,Foodworks Gourmet Private Limited,Foodworks Gourmet,"No:121/46,Dr.RK Salai,, Mylapore,Chennai-600004."
515,Fortel,Fortel,"No.3, Gandhi Irwin Road, Egmore, Chennai - 600 008, Tel :044 30242429"
516,Fortia Energy Private Limited,Fortia Energy,"Ambrosia, No.49, JVL Paradise, Ground Floor,New Avadi Road, Kilpauk,
Chennai - 600010, Mob 89031 41802, 90031 45957, ( Delivery At Teynampet)"
517,Foundation for Vocational Training,Foundation for Vocational Training,"No:15A/9,Corporation Community College,, CV Raman Road,Alwarpet,, Chennai-600018, Mob:9551953393"
518,Four Points By Sheraton,Four Points By Sheraton,"Mahabalipuram Resort & Convention Center, Confluence Banquets & Resorts, ECR-OMR Junction, ECR, Poonjeri,, Mahabalipuram, Chennai -603 104, Mob-99628 91115, Janakiraman A/c No: 7397492163"
519,Fresh and Frozen Foods,Fresh and Frozen Foods,"No.73, Kalki Krishnamurthy Salai,, ( L. B. Road ) Thiruvanmiyur,, Chennai-600041, Mob-98402 05174, Tel-4212 2251"
520,Fresh and Honest Cafe Private Limited,Fresh and Honest Cafe,"No:181,Mangadu Main Road,, Paraniputhur,Chennai-600122., Mob:9962502648 , 9962504973"
521,FRESH & MORE,FRESH & MORE,"(Nilgiris Franchisee), No:489,Poonamallee High Road,, Maduravoyal,, chennai-600095, LANDLINE NO:044-23782800"
522,Fried N Fries,Fried N Fries,"No:10/29, 47th St, Ashok Nagar,, Chennai-600083, Mob:9551604171"
523,Fusilli Reasons,Fusilli Reasons,"No:9,Manikeshwari Street,, Kilpauk,Chennai-600010., Mob:9840170077."
524,Fusilli Reasons (G),Fusilli Reasons,"Old No:7,New No:24,, Sadasivam Street,Gopalapuram,, Chennai-600086., Mob:9840170077"
525,Fusilli Reasons Velachery,Fusilli Reasons Velachery,"No:32,Gurunanak Road,, Velacherry,Chennai-600042., Mob:9840170077."
526,Fusion Feast,Fusion Feast,"4/145,, OMR Road,, Egattur, Chennai,, Chengalpattu, Tamil Nadu, 600130, Ph:98406 36636"
527,Future Fun Foods,Future Fun Foods,"Deli Pizzeria, Himalaya Food Court,, IIT-Madras Campus,, Chennai-600036., Mob:9962524244."
528,Gain Foods,Gain Foods,"No:13,Durai Swamy Pillai Street,, Tambaram West,Chennai-600045., Mob:7305026261"
529,Galaxy A Food Square,Galaxy A Food Square,"Plot No. 26,27 and 28, Old Door No. 37,, New Door No. 8, Thanikachalam Road,, T Nagar, Chennai, -600017, Ph:63840 20202"
530,Galito's Restaurants Private Limited,Galito's Restaurants,"The Forum Vijaya  Mall, Unit No 214 Second Floor, Vadapalani Chennai 600 026, Mob 9840017089, Mr. Ashokan"
531,Galito's Restaurants Private Limited (P),Galito's Restaurants,"Unit No UG-41 Phoenix Market City Chennai,, Upper Ground Floor, Phoenix Market City,Old, Door.No.66, New Door No.142, Velachery Road,, Chennai, Tamil Nadu, 600042, Mob- 91235 22 779"
532,Garuda Enterprises,Garuda,"5/3, Aminjikarai,, Vellalar Street, Chennai - 600029, Ph:9841208166"
533,Garuda Supermarket,Garuda Supermarket,"18, Nehru Street,, Maruthi Nagar Phase 1,, Iyyappanthangal,, Chennai-600077, Mob:73587759, Telephone:044 45880537"
