Sl_No,Restaurant,Address,Detected_Cuisines,Total_SKU_Score
178,Brews & Beyond Bistro Pvt Ltd,"No : 55/16, 3rd Floor,, 7th Avenue, Besant Nagar, Chennai - 600090, contact no : 95666 95236","Continental, Cafe_Bakery, Fine_Dining",2.75
635,Italian Gourmet Makers Private Limited,"1/7 1&2/7, Ormes Road, 4th Cross Street, Kellys, Kilpauk, Perambur, Chennai-600010, mob:96771 55555",Italian,2.55
187,Bts Bistro,"Sf No.203/3, Plot No.129,130,, Service Road, Near Veerana Pump House,, Chennai, Tamil Nadu, 600095., Mob:9840450311, ( Delivery At Near Porur Toll Gate)","Continental, Fine_Dining",2.55
255,Cilantro Italiana,"Annai Velankanni Nagar, Phase 2,Madhanathapuram, Chennai-600 116, Mob - 8754925640",Italian,2.55
479,Evoke Bistro Bar & Grill,"No. 5/360 2nd Floor, Rajiv Gandhi Salai , Okkiyam, Thoraipakkam, Chennai - 600 097, Mob No. 8825766059","Continental, Fine_Dining",2.55
85,Ark Bistro,"NO: 19,First Floor,Kakhan Street,, Potheri,Kattankulathur,, Chennai-603203., MOB: 9962103426.","Continental, Fine_Dining",2.55
62,Anuthams Gelato,"No 7, Neela Nagar, Phase 2,, 3rd Street,, Medavakkam, Chennai,, Tamil Nadu, 600100, Ph:84285 04372",Italian,2.55
1925,The Hide out bistro,"101 D block 6th street, Anna nagar east, Chennai - 102, Contact - 7401833110","Continental, Fine_Dining",2.55
888,Mexicano Griller,"No.48, sterling avenue,, near loyola college,, Nungambakam, Chennai-600034, Mob 9087766000",Mexican,2.55
1558,Seven Seasons Bistro,"Old No:38,New No:131,Sterling Road,, Nungambakkam,, Chennai-600034., Mob:9865092704.","Continental, Fine_Dining",2.55
1870,Tasty Pizza,"3/3, Valluar Salai, Ramapuram, Chennai-600 089, Mob No: 9884871146, 9940158913","Italian, Fast_Food",2.55
419,Dudu Grill and Bar,"No:3/416,ECR Road,, Uthandi,Chennai-600119., Mob:9176775222.","Continental, Fine_Dining",2.55
406,Doner Kebab Bistro,"No.31 , Anderson Road,, Nungambakkam,, Chennai - 600 034, Tel-044 4501 8008, Mob No. 8122379924","Continental, Fine_Dining, North_Indian, Arabian",2.55
405,Doner Bistro,"Express Food Street, 137, Rajiv Gandhi Salai,, Semmancheri,, Chennai, Tamil Nadu 600119","Continental, Fine_Dining",2.55
1855,Tangy Pizza,"No 6 Mangala Lakshmi Nagar, Madhandapuram  , Porur, Chennai  - 600 125","Italian, Fast_Food",2.55
491,Fasta Pizza Private Limited,"No 48,49,& 50,, Rajeshwari street, Santosh Nagar,, Palavakkam Village, Perungudi, Chennai - 600 041, Mob: 91761 45450, Name: Ajmal Hussain","Italian, Fast_Food",2.55
878,Me Italian,"Everst Foods Street, Senganmal,, Kelambakkam, OMR, Chennai-603103, Mob:9629300614, Land Mark: Kelambakkam to Thiruporur Highway, Shell Petrol Bank",Italian,2.55
1819,Super Star Pizza Anna Nagar,"No:173, 5th Ave,, Z Block, Anna Nagar, Chennai - 600040, Mob No : 9994561398","Italian, Fast_Food",2.55
546,Global Bistro,"No:17,KB Dasan Road , Alwarpet,, Chennai, Tamilnadu-600018, Mob;8015400176","Continental, Fine_Dining",2.55
1284,Pizza Mechanics Private Limited,"No:164/27B,, Doctor P.J.Thomas Avenue,, Injambakkam,Chennai-600115., Mob:9884656311.","Italian, Fast_Food",2.55
1283,Pizza Boy,"Shop No:4,Plot No:26&27 A,, Annai Velankanni Nagar,Mugalivakkam,, Chennai-600125., Mob:8508250789.","Italian, Fast_Food",2.55
555,Gossip Bistro and Dessert Bar,"No:191/114,Uthandi Village,, ECR,Chennai-600115., Mob:","Continental, Fine_Dining",2.55
1992,Tomoz Pizza,"#5, Red Hills Road,, Ambattur,Chennai - 600053., Mob- 91767 88100","Italian, Fast_Food",2.55
1820,Super Star Pizza  ( Egmore ),"No :123, Dugar  Tower,, Rukmani Lakshmipathi Rd(Marshalls Road), Below Bank of Baroda  Regional Office,, Chennai Rural, Egmore,, Chennai - 600008, mob no : 98943 54867","Italian, Fast_Food",2.55
1818,Superstar Pizza,"New No:20,Old No:9,5th Avenue,, Besant Nagar Beach,, Chennai-600090., Mob:9894354867., ( Delivery at Ttk Road,Alwarpet )","Italian, Fast_Food",2.55
527,Fusion Feast,"4/145,, OMR Road,, Egattur, Chennai,, Chengalpattu, Tamil Nadu, 600130, Ph:98406 36636",Pan_Asian,2.4
1999,Tovo Infused Grill Chicken,"No:46/121,Dr.Radhakrishnan Street,, Mylapore,Chennai-600004.",Continental,2.4
643,Ivory Fusion Ventures LLP,"Ground Floor,D-13,Mogappair East Industiral Estate,, State Bank of Indai Atm,Mogappair East,Chennai, Tamil Nadu- 6000037, Ph No : 8667006040",Pan_Asian,2.4
1208,ONGRILL OMR,"No:1/2,OMR Service Road,, Rajiv Gandhi Salai,Anand Nagar,, Toraipakkam,Chennai-600097., Mob:6382705419",Continental,2.4
2170,Yakebab Restaurant,"1St Main Road,, G Block, Anna Nagar East, Chennai - 600102, Mob No : 7736035368","Fine_Dining, North_Indian, Arabian",2.25
301,Cosmos Restobar,"No:12/486A,, Mambakkam Road,, Madavakkam,, Chennai-600100.",Fine_Dining,2.2
2010,TRIO GOURMET RESTAURANTS LLP,"Door No 9, Khadar Nawaskhan Road,, Chennai-600006, Mob-98841 91119",Fine_Dining,2.2
1995,TOSCANO RESTAURANT,"( Red Apple Kitchen Consultancy Pvt Ltd ), 11 Khader Nawaz Khan Road, Nungambakkam, Chennai 600 006., Mob 09007228108, Mr Sourav Dey",Fine_Dining,2.2
388,Dinetech Foods Private Limited,"Plot No. 57-58, Raja Gardens,, Vanagaram Main Road,, Vanagaram, Chennai - 600116, Ph: 9940617739 - Balaji",Fine_Dining,2.2
393,Divine Dine,"Ground Floor, M/34/2,, 17th Cross Street,, Aavin Milk Booth, Besant Nagar,, Chennai, Tamil Nadu, 600090, Ph; 72992 84214, 76958 02025",Fine_Dining,2.2
2003,Travancore Restaurant,"1st Floor,No:1/362,, Rajiv Gandhi Salai,Padur,, Kelambakkam,Chennai-603103., Mob:8589829452",Fine_Dining,2.2
387,Dinesh Radha,"No.28, Ennore Express Road,Kaladipet,, Thiruvottiyur,Chennai-600019, Mob-",Fine_Dining,2.2
362,De Indian Kitchen,"31 A Seethapathy Nagar, 100ft Tharamani Link Road,, Chennai 600042, Ph; 89252 80418",Fine_Dining,2.2
2197,Z’s kitchen,"(Haleema), 20/42,melpadi Muthu st,, Nungambakkam, Chennai-600034, mob:98847 66628",Fine_Dining,2.2
386,Dine Kart Private Limited,"No 10 1St Street, VOC Colony Amnjikarai, Chennai 600 029., (Land Mark Next Nuts and Spices, Warehouse), Mob 89391 88999",Fine_Dining,2.2
385,Dine Fine Gourmet,"No 73, First Floor, Room. No.1, Palkalai Nagar, Palavakkam, Chennai - 600 041",Fine_Dining,2.2
389,Dionysus Restaurants Private Limited,"Jaganathan Road, Opposite Vijay Tv Office, Tirumurthy Nagar, Nungambakkam, Chennai 600 034, Mob-86101 78226, A/C No. 9962560647",Fine_Dining,2.2
531,Galito's Restaurants Private Limited,"The Forum Vijaya  Mall, Unit No 214 Second Floor, Vadapalani Chennai 600 026, Mob 9840017089, Mr. Ashokan",Fine_Dining,2.2
295,Copper Kitchen Porur,"6/133 Arcot Road, Karampakkam, Porur Chennai 600 116, Ph 7810991196",Fine_Dining,2.2
31,Al-Ameen Chef Express Family Restaurant,"210-1B-16 Anna Salai, Kodaikanal, ( Delivery Address:, Ciro Cattaneo, Sunrise Villa,, Ags Colony Beach, B.34 Kottivakkam, Chennai 600 041.","Fine_Dining, Fast_Food",2.2
2128,V Meet Multi Cuisine Restaurant,"No:31,G.S.T.Road,, Nandivaram,Guduvancheri,, Chennai-603211.",Fine_Dining,2.2
511,Foodies Kitchen LLP (ABT),"(Absolute Thai), 24 Cenotaph Road, Teynampet, Chennai 600 018, Mob 98847 27375, 9884727375",Fine_Dining,2.2
20,Ahlan Copper Kitchen,"No:7,P.C.M.Colony,, Thomas Mount,, Chennai-600016., Mob:9677164004",Fine_Dining,2.2
510,Foodies Kitchen LLP,"24 Cenotaph Road, Teynampet, Chennai 600 018, Mob 98847 27375, 9884727375",Fine_Dining,2.2
2129,V MEET RESTRO BAR,"No:3rd Floor, Grand Southern Trunk Rd,, Opp to VGP Ground, Urapakkam, Chennai-603210, Mob:9940086957",Fine_Dining,2.2
277,Collaborative Restaurant Llp,"Old No : 1, New No :17A,, 6th Main Road,, Raja Annamalai Puram,, Mob No:8838702218, Chennai : 600028",Fine_Dining,2.2
2077,Vengatesh Snacks Bar,"No:35,200 Feet Rediai Road,, Vels Colleage,, Old Pallavaram,, Chennai-600117., Mob:8531052638",Fine_Dining,2.2
280,Community Kitchen Company,"Old No: 27A, New No: 60, 4th Main Road, Raja Annamalai Puram,, Chennai - 600028, TUSCAN TABLE-RA PURAM, Mob-96770 77347",Fine_Dining,2.2
448,Elevate Restaurants,"(Infinity Esthell Restaurants LLP), No.1 Royal Enclave Besant Avenue Road, Adyar Chennai 600 020, Mob No +91-7338801767",Fine_Dining,2.2
283,Concept Dine In,"No. 18 L V Prasad Road,, Dhanalakshmi Colony, Vadapalani Chennai  - 600 026, Mob No. 72002 21818",Fine_Dining,2.2
437,Eden Restaurant,"Harrisons Hotel, 314- Valluvar Kottam High Road, Nungambakkam, Chennai - 600 034, 9884034060",Fine_Dining,2.2
532,Galito's Restaurants Private Limited (P),"Unit No UG-41 Phoenix Market City Chennai,, Upper Ground Floor, Phoenix Market City,Old, Door.No.66, New Door No.142, Velachery Road,, Chennai, Tamil Nadu, 600042, Mob- 91235 22 779",Fine_Dining,2.2
2048,Urban Spice Restaurant,"AG-64, 1st Floor,, River View Colony., Shanthi Colony. Anna Nagar, Chennai-600 040, Mob:9840029293",Fine_Dining,2.2
2181,ZABEEL MULTI CUISINE RESTAURANT,"OLD NO 50, NEW NO 72, PATTA NO 616,, PERUMAL KOIL STREET, Iyappanthangal,, Chennai, Tiruvallur, Tamil Nadu, 600056, MOB:9566127888",Fine_Dining,2.2
591,HAUNTED RESTAURANT,"NO,23, 7th, Vasanth Colony,, W Block , Anna Nagar,, Chennai-600040, Mob-9841805528",Fine_Dining,2.2
2190,Zing Wing Restaurant.,"No.24,1st Flour,, MG,Road, Pattabiram,, Chennai-600072, Tel-044 2685 1093",Fine_Dining,2.2
4,Achayathis Restaurant,"100 Feet Road,, Opp Opposite Kalyan Jewellers,, 3rd Street,Rajalakshmi Nagar,, Velachery,Chennai-600042., Mob:8589041869.",Fine_Dining,2.2
2038,Uncle Sam's Kitchen,"#5, Varadarajapuram 1st Street, (Near Oil Mill Bus Stop), Pallikkaranai, Chennai - 600 100, 04445575758, Ph.9789090307, 9840971477, A/C : 044 4557 5738",Fine_Dining,2.2
2032,Twisty Tails Restaurant,"No 1 Anandha Road, Alwarpet, Chennai 600 018., Mob 6374210383",Fine_Dining,2.2
2177,Yumcha Restaurant,"Unit Of Sinful Something, Ld No 3, New No 34, Plot No 23 Co Operative  Colony, Alwarpet Chennai 600 018, Ph 89393 04633",Fine_Dining,2.2
1635,Smart Belly Foods ( Base Kitchen ),"No.18/24, TTK Road,, 1st Cross Street ,, Alwarpet,, Chennai-600 018, Mob-98844 89894, 8852086372",Fine_Dining,2.2
1966,The Tambourine Multi Cuisine Restaurant,"No 1 Semmozhi Street, J Nagar East Coast Road, Chennai 600 119., Mob 99628 29227",Fine_Dining,2.2
1668,Speciality Restaurants Limited (S),"(Sigree Global Grill, Mainland China), No 11 Kodambakkam High Road, Nungambakkam, Chennai 600 034",Fine_Dining,2.2
1843,TAG-DINE,"No. 65/1, 15th Street, Ashok Nagar,, Chennai, Tamil Nadu,",Fine_Dining,2.2
1960,The Skyview Restaurant,"22, Ambattur Redhill Main Road,, Pudur,, Chennai-600053",Fine_Dining,2.2
1808,Sumac Kitchen Llp,"No:17A,6th Main Road,, Raja Annamalai Puram,, Chennai-600028, Mob:9003114800.",Fine_Dining,2.2
321,Crunchy Kitchen,"No 135, MSP Complex,, Medavakkam Main Road,, Ullagaram, Chennai 600 091., Mob: 89394 62887",Fine_Dining,2.2
1256,Pascah Restaurant,"No:3,Kamaraj Nagar,, Main Road,Avadi,Chennai-600071., Mob:9884097730.",Fine_Dining,2.2
1791,Stone Plate Restaurant,"213/71 Shop No C1D, OMR Food Street, Thoraipakkam, Opp to (AKDR Tower) Chennai 600 097, Mob 99520 49885",Fine_Dining,2.2
1790,Stoke Restaurants India LLP,"No 40 Bazullah Road, M.T. Rajan's Properties, T.Nagar Chennai 600 017, Ph 9094965512",Fine_Dining,2.2
1329,Purple Kitchen,"C5 E122 3rd Floor, 3rd Avenue, Anna Nagar, Chennai 600 040, Land Mark : Opp SeaShell, Restaurant, Ph  99621 77442, 75502 23140, 9791510366",Fine_Dining,2.2
1349,Quality Bites Restaurant,"No:4,234A,Rajparis Harmony,, Surya Nagar,MGR Nagar,, Medavakkam,, Chennai-600100, Mob: 8884294448",Fine_Dining,2.2
1363,Rainforest Restaurant,"No 41 ,42 first main road, Gandhi nagar adyar, Chennai-600020, Mob-98409 99555",Fine_Dining,2.2
137,BESTKEPT RESTAURANT SECRETS PRIVATE LIMITED,"48/72, Chathidral Road, Galilayapuran, Chennai, Tamil Nadu, 600086, Mob:+91 98400 75450",Fine_Dining,2.2
1394,Red Apple Kitchen Consultancy Pvt Ltd,"11 Khader Nawaz Khan Road, Nungambakkam, Chennai 600 006., Mob 09007228108, Mr Sourav Dey",Fine_Dining,2.2
1395,Red Apple Kitchen Consultancy Pvt Ltd ( OMR ),"Toscano, Brigade World Trade Center Sales Office, 5, 142, Rajiv Gandhi Salai, Chennai - 600096, Ph:94894 49970, Contact Name: Nohan",Fine_Dining,2.2
1396,Red Apple Kitchen Consultancy Pvt Ltd ( PMC ),"No:UG-28,Upper Ground Floor,, Phoneix Market City,, Velacherry Road,Chennai-600042., Mob:7977562876,6381036914",Fine_Dining,2.2
1397,Red Apple Kitchen Consultancy Pvt Ltd (VR),"Collage By Toscano, VR Mall  Pillaiyar Kovil Street, Anna Nagar Chennai 600 040., Mob- 6380884551",Fine_Dining,2.2
1403,Red Dot Kitchen Private Limited,"616, Tiruvannamalai Kanji Road, Kosalai Vill,, Adaiyur, Tiruvannamalai,Chennai-604, Mob:9894964005",Fine_Dining,2.2
1667,Speciality Restaurants Limited (P),"(Mainland China (P)), First Floor F 34 Phoenix Market City, 142 Velachery Main Road, Chennai 600 042, Mob: 8348170172,, 9884226363",Fine_Dining,2.2
1754,SRI SAI KITCHEN MAKERS,"NO : 100/2,, Wood Warf, Walltax Road, Chennai : 600003, Contact No 9444086715, Delivert at Porur GK Cinemas",Fine_Dining,2.2
1414,RHAPSODY RESTAURANTS AND LEISURE PRIVATE LIMITED,"NO.7, KHADER NAWAZ KHAN ROAD,, NUNGAMBAKKAM, CHENNAI,, Tamil Nadu, 600006, PH : 044-243320241",Fine_Dining,2.2
1434,Rohini Restaurant,"No:32/39,Palayakara Street,, Bharathi Nagar,Porur,, Chennai-600116., Mob: 9884552153",Fine_Dining,2.2
125,Bamboo Kitchen,"No:6/8,4th Avenue,2nd Floor,, Main Road,AH Block Shanti Colony,, Anna Nagar,Chennai-600040., Mob:8939632585.",Fine_Dining,2.2
1449,RP Kitchen,"Rahuls Aishwarya Apartments, 2A/11,3rd Floor,4th Avenue,, 7th Main Road,Dhandeeshwaram Nagar,, Velachery,Chennai-600042.",Fine_Dining,2.2
1462,Rudhran's Restaurant & Retail Private Limited,"122, Karunanidhi Beach Road,, Palkalai Nagar,, Palavakkam,, Chennai 600 004., Mob: 7305926111",Fine_Dining,2.2
1511,Santos Concept Dining,"G/A Block, Shree Neel Terrace,, Kadambadi Amma Street,, Valasaravakkam,, Chennai-600087, Mob -93842 33250",Fine_Dining,2.2
1679,SPI Diners Private Limited,"NO:19,Pushpa Nagar Main Road,Lake Area,, Nungambakkam,Chennai-600034., MOB: 93454 27505",Fine_Dining,2.2
1678,Spicy Eats Restaurant,"1/PC 2A, Mugappair West,, Nolambur, Chennai 600 037., Mob: 9840423724,9962599452, 9700095888",Fine_Dining,2.2
1532,Savoury Restaurant and Caterings,"No:391/1,Nehru Nagar,Kottivakkam,, OMR,Chennai-600096., Mob:9605612234",Fine_Dining,2.2
1669,Speciality Restaurants Limited ( Ty ),"Mainland China Restaurant, A Unit of Speciality Restaurants Limited, No-5, Srinivas Tower,, Cenotaph Road, Teynampet,, Chennai -600018., Mob- 7871898392/8018506323",Fine_Dining,2.2
1557,Seven Screen Kitchen (Unit of Kal Flick Pvt Ltd),"1st Floor, No 37/4, Potters Street,, Saidapet,, Chennai, Tamil Nadu, 600015, PH:9884055302",Fine_Dining,2.2
1666,Speciality Restaurants Limited,"Hotel The Spring ( Mainland China - Asia Kitchen), Hotel The Spring, No 11 Kodambakkam Road, Nungambakkam, Chennai  600 034, Ph 9025175579, 9904103622",Fine_Dining,2.2
1101,Naroo Kitchen Pvt Ltd,"No.37, 2nd Main Road,, Kasturibai Nagar,, Adyar, Chennai-600020, Mob-99620 62278",Fine_Dining,2.2
828,Maison Restaurants Pvt Ltd,"23/13, Khader Nawaz Khan Road, Nungambakkam, Chennai - 600 034, Mob 98846 06222",Fine_Dining,2.2
843,Map Associates ( BFF Bar ),"New No:80,Old No:29,, Ra Puram Second Main Road,, Chennai-600028.",Fine_Dining,2.2
1926,The Hot Kitchen ECR,"Plot No : 78-79,, Injambakkam Village, ECR, Chennai - 600115, Mob No : 9840333336",Fine_Dining,2.2
50,ANJANAAS KITCHEN LLP,"2 P N Palayam,, Arasankalani,, Sithalapakkam,, Chennai - 600 126., Mob: 9629986234",Fine_Dining,2.2
1866,Taste of North By Neelam's Kitchen,"No 5B, No. 5B Part,, Evp Rajeshwari Avenu,, Mathananthapuram,, Chennai 600 125., Mob-70103 77395",Fine_Dining,2.2
1654,Social Restaurants Private Limited,"No 94 Sathyadev Avenu, MRC Nagar, Chennai 600 028, Mob 8870888486 , 9789767333",Fine_Dining,2.2
682,KAILASH KITCHEN,"M69/4, 7th Avenue, Besant Nagar, Chennai 600 090., Mob: 90032 94207, Name:Karthick",Fine_Dining,2.2
207,Calicut Restaurant,"No 15, V O C Street,, East Coast Road,, Injambakkam, Chennai,, Chennai, Tamil Nadu, 600115, Mob:- 80729 37316",Fine_Dining,2.2
1664,Spazio Restaurant,"Dr.Kannan Tower No 7, 2nd Floor Lakshmi Nagar Ext,, Arcot Road Porur, Chennai 600 116, Mob 98840 30425",Fine_Dining,2.2
1626,Sky7 Restobar,"7th Floor,  No 12, Jawaharlal Nehru Salai,, Chennai Tamil Nadu-600106, Mob: 9981998140 / 81245 51365",Fine_Dining,2.2
767,Lavish The Foodie Lounge Private Limited,"New No. 4 / Old No.5,, Kanniah Street / Off North Usman Road,, T Nagar, Chennai - 600017., Mob: 9551015580.",Fine_Dining,2.2
803,Maan Restaurants India Private Limited,"No.22, Old No.16, Varadaraipet Main Street,, Kodambakkam, Chennai- 600 024, Next to Meenakshi Collage, Mob - 99402 76794, Tel 044 43556555 Janakiraman A/C, ( Noodles Foods )",Fine_Dining,2.2
1100,Naranja Urban Pumpkin Kitchen Private Limited(Ecr),"110, East Coast Road,, Sholinganallur,, Chennai - 600119, Mob:9080115252",Fine_Dining,2.2
834,Malabar House,"Ground Floor, Old No 34 New No.7/2,, 17th Cross Street,, Besant Nagar,, Chennai - 600020, Contact No : 80728 26207",Fine_Dining,2.2
1560,Seyon Kitchens,"107, Vj Tower,, Mount Poonamalee Main Road, Kattupakkam, Chennai- 600056, PH;97867 70301",Fine_Dining,2.2
852,Massive Restaurants Private Limited,"Louis Burger, No:44,Survey No:151/2C4A,, Camp Road,Selaiyur,, Tambaram Taluk,, Chennai-600073., Mob:8754610578 / 9999609073",Fine_Dining,2.2
1095,Nando's Karnataka Restaurants Private Limited,"No:S-54,Second Floor,Phoenix Market City,, Velachery Road,Chennai-600042., PH NO : 9840017089, Con Person : Mr Ashoke",Fine_Dining,2.2
872,Meeka RestaurantS Private Limited (G),"No 84Cathedeal Road, Gopalapuram, Chennai 600086, Mob No;9080759769",Fine_Dining,2.2
1099,Naranja Urban Pumpkin Kitchen Private Limited,"37/20, BHEEMANNA MUDALI GARDEN STREET,, ALWARPET CHENNAI-600018, Mob-9444543643/8220036682., A/c Mr Loganathan: 9962008749",Fine_Dining,2.2
917,MOGLEE'S KITCHEN,"No.8/27 , Vanniyar Methu Street,, Iyyapathagal,, Chennai - 600056., Mob-9092233371, Mob - 91504 65671",Fine_Dining,2.2
918,Moglees Kitchen,"No.8/27 , Vanniyar Methu Street,, Iyyapathagal,, Chennai - 600 056, Mob - 91504 65671",Fine_Dining,2.2
1019,M/S Cloud Kitchen,"No. 1/3 Kundrathur Main Road,, Purusothaman Nagar,, Periyapenichery, Chennai - 600128",Fine_Dining,2.2
871,Meeka Restaurants Private Limited,"4th Floor No 49 North Boag Road, T Nagar, Chennai 600 017, Tel-044 66650259 , 04445500086, Mob-97918 85888",Fine_Dining,2.2
170,Born Restaurants Llp,"No.6A, Born Restaurants LLP,, New Colony 10th Street,, Adambakkam, Chennai,, Tamil Nadu, 600088, contact number : 99940 27797, Contact Person : Ajith Kumar",Fine_Dining,2.2
1096,Nando's Karnataka Restaurants Private Limited ( R ),"Unit No. Restaurant 5, 5A, 3rd. Floor,, Express Avenue, No. 49 - 50, Whites Road,, Royapettah, Royapettah, Chennai,, Tamil Nadu, 600014, Manager Nandos- Prem – 9742371302_x000D_
_x000D_
Assis, Assistant Manager – Ashok -9840017089",Fine_Dining,2.2
1084,Naga Cuisine ( A North East Restaurant ),"No:1/45,Madhavan Street,, Nehru Nagar,Velachery,, Chennai-600042., Mob:9677978999",Fine_Dining,2.2
889,Mezze Foods LLP,"No:19/4,Co-Operative Colony,, Off Chamipers Road,, Chennai-600018., Ashok : 9566128341.",Mediterranean,2.05
1587,Shree Mithai Private Limited,"No:18,Dr.T.V.Road,, Chetpet,Chennai-600031.",Sweets,2.0
793,LOIEE MITHAI & RASOI,"36/B2, Door No.273, Velacherry Main Road,, Rajakilpakkam, Chennai, Tamil Nadu, 600073, MOB:9994732369",Sweets,2.0
210,California Burrito ( G ),"Kathipara Urban Square,, Flyover, near Guindy, Ramapuram, Industrial Estate, Chakrapani Colony, Guindy,, Chennai - 600016, PH: 9505536231",Mexican,1.7
209,California Burrito (EA),"Express Infrastructure Private Limited, No:49&50L,3rd Floor,, Whites Road,Royapettah,, Chennai-600014., Mob:8892844365.",Mexican,1.7
208,California Burrito (DLF),"DLF Info City Chennai Limited, No:1/124,Ground Floor,Moonlight Bus Stop,, Sivaji Garden,Mugalivakkam,, Chennai-600014., Mob:9593267492.",Mexican,1.7
360,De Grains and Herbes,"Shop No: G45,Phase 2,, Ground Floor,Spencer Plaza,, Chennai-600002., Mob:9884155505.",Unknown,1.5
2015,Truly Herbivore,"Ramaniyam Apartments, Ground Flour,Indira Nagar,, Adyar,Chennai-600020.",Unknown,1.5
2159,Wok Hospitality,"2nd Floor, 5/391,, OMR Main Road,, Thoraipakkam,, Chennai - 600097, (Near Formule 1 Hotel)_x000D_
, Mob-9920-874520","Chinese, Pan_Asian",1.4
1104,Nasi and Mee Asian Canteen ( PMC ),"Phoenix Market City,, Indira Gandhi Nagar,, Velachery,Chennai-600042., Mob:8608262601 / 9500184364",Pan_Asian,1.4
1102,Nasi and Mee Asian Canteen,"Old No:24,New No:18,, Kadhar Nawaz Khan Road,, Nungambakkam,Chennai-600006., Mob:7845276088",Pan_Asian,1.4
2046,Urawok,"No:99/2B2,OMR Road,, Kazhipathur,, Chennai-603103.","Chinese, Pan_Asian",1.4
1145,Noodles Foods (India) Private Limited,"No.22, Old No.16, Varadaraipet Main Street,, Kodambakkam, Chennai- 600 024, Next to Meenakshi Collage, Mob - 99402 76794, Tel 044 43556555",Pan_Asian,1.4
1103,Nasi and Mee Asian Canteen ( OMR ),"No:110,Rajiv Gandhi Salai,, Old Mahabalipuram Road,, Chennai-600041., Mob:8778073066",Pan_Asian,1.4
8,Admiral Marine Services Pvt Ltd,"1st Floor, No:23, Moore St,, Chennai, Tamilnadu-600001, Mob:9003307065",Seafood,1.3
859,Mayfair Marine&Marketing,"Old No 100 New No 128, Coral Merchant Street, Chennai 600 001, Mob  9884217265, Tel No 25249698",Seafood,1.3
2041,UNITED MARINE,"NO 1, GROUND FLOOR,, MADHA CHURCH STREET,, ROYAPURAM,CHENNAI-600013., Mob:9840859736",Seafood,1.3
668,JMJ SEAFOODS PRIVATE LIMITED,"4/92-6A, MAGAZINE ROAD, ST THOMAS MOUNT,, Chennai, Tamil Nadu, 600016,, MOB:9940125462",Seafood,1.3
1624,S K Marine International,"AP-422, D NO.15, I-BLOCK,, Thiruvalluvar Kudiyiruppu Colony,, 20th Street, ANNA NAGAR,, Chennai, Tamil Nadu, 600040, Mob:96000 67217",Seafood,1.3
1894,The Brews Brothers ( P ),"No:D4,MGR Salai,Palavakkam,, Chennai-600041., Mob:9710030809",Cafe_Bakery,1.2
1577,Shiraz Art Cafe,"No. 27, Beach Road Kapaleshwar  Nagar, Neelangarai Chennai - 600 041, Mob No: 9840572126",Cafe_Bakery,1.2
521,Fresh and Honest Cafe Private Limited,"No:181,Mangadu Main Road,, Paraniputhur,Chennai-600122., Mob:9962502648 , 9962504973",Cafe_Bakery,1.2
37,AMBATTUR AARTHI SWEETS AND BAKERY,"27,Northi Park Street,, Venkatapuram Tiruvallur,, Chennai-600053, Mob:9360792743","Cafe_Bakery, Sweets",1.2
1794,Studio Cafe,"51/C, sabari nagar extension,, Mugalivakkam, Chennai-600125, Mob:9566230432",Cafe_Bakery,1.2
1197,Old Skool Cafe And Boutique Ventures Pvt Ltd,"No 9/5 Nandhanam First Street, Nandhanam Extn, Chennai  600 035, Ph: 24340545    Mob:9962601609",Cafe_Bakery,1.2
1785,Standalone Brewery Pvt Ltd,"No.89, Chamiers Road, R A Puram, Chennai - 600 028, Ph No; 9566511720",Cafe_Bakery,1.2
1893,The Brews Brothers,"NO: 3, Krishnaswamy Street,, North Usman Road, T.Nagar,, Chennai - 600017, Mob- 8778187767.",Cafe_Bakery,1.2
882,Mellow Cafe,"479 1st Main Road, ERI Scheme Road, Mugappair East, Chennai 600 037, Mob 96001 14279, Land Mark : Ambedhkar Playground",Cafe_Bakery,1.2
476,Eventide Coffee,"No:138,Eeast Coast Rood,, Injambakkam,Chennai-600119., Mob:7200880770",Cafe_Bakery,1.2
273,Coffee Tales,"No 7, 7th Crosee Street, Shenoy Nagar, Anna Nagar, Chennai-600 040, Ph-4204188,43561888, 098403 50003",Cafe_Bakery,1.2
1895,The Brews Brothers ( Ty ),"No:6/11,Kasturi Ranga Street,, Chennai-600018., Mob:8056141984",Cafe_Bakery,1.2
1778,SS CAFETERIA,"3538+6RF, Alapakkam Main Rd,, Janaki Nagar,, Maduravoyal,, Chennai-600095, mob:9080440099",Cafe_Bakery,1.2
550,Go Binge Cafe,"F1,No:2/138,Sakunthala Appartment,, Sivan Koil Street,Iyyappanthangal,, Chennai-600056., No: 98414 69596 / 9384702885",Cafe_Bakery,1.2
1489,Saltwater Cafe,"Kaveri Nagar, Kottivakkam, New Beach Road, Chennai 600 041",Cafe_Bakery,1.2
772,LE CAFE ET GATEAUX,"No. 147, Paper Mills Road,, Peravalur, 70 Feet Road,, Chennai - 600 082, Contact Mr. Karthic, Mob No: 9952914373",Cafe_Bakery,1.2
364,Deja Brew Cafe,"38, Sterling Road, Nungambakkam,, Chennai, Tamil Nadu, 600034, Ph:6383624640",Cafe_Bakery,1.2
363,DEJA BREW,"No G4 (1069), 19th Street G Block Anna, Nagar West, Anna Nagar West, Chennai-600040, MOB-9176615050",Cafe_Bakery,1.2
